team,elo_rating,iso3
Spain,2129,ESP
Argentina,2128,ARG
France,2084,FRA
England,2055,ENG
Colombia,1998,COL
Brazil,1978,BRA
Portugal,1967,PRT
Netherlands,1944,NLD
Germany,1939,DEU
Norway,1929,NOR
Japan,1910,JPN
Ecuador,1890,ECU
Croatia,1881,HRV
Mexico,1881,MEX
Belgium,1879,BEL
Uruguay,1870,URY
Denmark,1869,DNK
Italy,1869,ITA
Switzerland,1865,CHE
Austria,1857,AUT
Turkey,1849,TUR
Morocco,1840,MAR
Australia,1839,AUS
Senegal,1839,SEN
Scotland,1794,SCO
South Korea,1786,KOR
Paraguay,1780,PRY
Ukraine,1780,UKR
United States,1780,USA
Russia,1772,RUS
Canada,1767,CAN
Nigeria,1767,NGA
Algeria,1759,DZA
Iran,1756,IRN
Sweden,1755,SWE
Greece,1744,GRC
Ivory Coast,1743,CIV
Serbia,1734,SRB
Venezuela,1733,VEN
Chile,1717,CHL
Kosovo,1715,XKX
Czechia,1712,CZE
Egypt,1711,EGY
Hungary,1710,HUN
Poland,1710,POL
Peru,1700,PER
Ireland,1699,IRL
Uzbekistan,1698,UZB
Panama,1683,PAN
Wales,1682,WAL
Slovenia,1682,SVN
DR Congo,1674,COD
Slovakia,1667,SVK
Georgia,1654,GEO
Jordan,1653,JOR
Israel,1647,ISR
Romania,1639,ROU
Bolivia,1621,BOL
Bosnia and Herzegovina,1616,BIH
Albania,1616,ALB
Cameroon,1614,CMR
Costa Rica,1608,CRI
Cape Verde,1606,CPV
Northern Ireland,1605,NIR
Saudi Arabia,1598,SAU
Iraq,1592,IRQ
North Macedonia,1589,MKD
Mali,1588,MLI
Tunisia,1585,TUN
New Zealand,1578,NZL
Honduras,1570,HND
Iceland,1568,ISL
Ghana,1557,GHA
Angola,1542,AGO
United Arab Emirates,1540,ARE
Finland,1536,FIN
Haiti,1536,HTI
Burkina Faso,1529,BFA
Jamaica,1527,JAM
Belarus,1522,BLR
South Africa,1511,ZAF
Guatemala,1504,GTM
Oman,1480,OMN
Syria,1479,SYR
Palestine,1465,PSE
Guinea,1463,GIN
Montenegro,1461,MNE
Bulgaria,1458,BGR
Luxembourg,1450,LUX
Qatar,1447,QAT
Northern Cyprus,1442,NS
Suriname,1431,SUR
Kazakhstan,1428,KAZ
Curacao,1427,CUW
China,1424,CHN
Kurdistan,1424,KD
Libya,1420,LBY
Gambia,1419,GMB
Bahrain,1414,BHR
Benin,1405,BEN
Gabon,1401,GAB
Uganda,1394,UGA
Trinidad and Tobago,1386,TTO
